"whale.id","date.caught","lon","lat","area","length","weight","age","sex","maturity","stomach.volume","stomach.weight","year"
20932,"2006-06-23 12:00:00",-17.7033333333333,66.5045,"North",763,NA,13.8,"Female","pregnant",50,3.35,2006
20934,"2006-06-22 14:00:00",-23.2805,63.742,"South",797,NA,18.6,"Male","mature",60,25.967,2006
20935,"2006-06-24 18:00:00",-23.281,63.7361666666667,"South",700,NA,17.3,"Male","mature",18,13.4075,2006
20936,"2006-06-28 13:00:00",-22.4905,64.3111666666667,"South",750,NA,15.1,"Male","mature",26,16.231,2006
20937,"2006-07-10 13:00:00",-23.6471666666667,64.3173333333333,"South",661,NA,11,"Male","mature",30,3.84666666666667,2006
20938,"2006-07-17 07:00:00",-22.455,64.2933333333333,"South",706,NA,11.4,"Male","pubertal",22,21.603,2006
20939,"2006-07-17 17:00:00",-23.335,64.3716666666667,"South",782,NA,36.3,"Male","mature",0,4.98,2006
20940,"2006-07-19 06:00:00",-23.625,64.6616666666667,"South",763,NA,25.3,"Male",NA,53,4.36,2006
20941,"2006-07-21 11:00:00",-24.3833333333333,65.4666666666667,"South",805,NA,23.7,"Female","pregnant",52,41.078,2006
20944,"2006-07-22 13:00:00",-24.35,65.8333333333333,"North",770,NA,44.1,"Male",NA,10,0.33,2006
20945,"2006-07-23 15:00:00",-24.4,65.8,"North",750,NA,11.6,"Female","pregnant",38,41.078,2006
20947,"2006-07-24 11:00:00",-24.6333333333333,64.95,"South",802,NA,16.7,"Female","pregnant",81,60.9248828828829,2006
20949,"2006-08-12 12:00:00",-22.7165,64.3155,"South",699,NA,9.1,"Male","mature",20,16.6021194029851,2006
20950,"2006-08-13 10:00:00",-22.334,64.2378333333333,"South",748,NA,16.9,"Male","mature",16,12.0510403120936,2006
20951,"2006-08-17 13:00:00",-23.2,63.735,"South",783,NA,20.8,"Male","mature",43,45.2,2006
20952,"2006-08-21 12:00:00",-22.5283333333333,64.245,"South",759,NA,15.8,"Male","mature",55,44.892,2006
20953,"2006-08-24 21:00:00",-22.6133333333333,64.2416666666667,"South",706,NA,14.3,"Male","immature",45,18.338,2006
20954,"2006-08-25 08:00:00",-22.5266666666667,64.2533333333333,"South",647,NA,17.1,"Male","mature",6,6.1,2006
20955,"2006-08-25 18:00:00",-22.585,64.2266666666667,"South",739,NA,14.5,"Female","pregnant",25,23.463,2006
20957,"2006-06-19 14:00:00",-20.6983333333333,66.6766666666667,"North",834,NA,43.8,"Male","mature",50,2.321,2006
20958,"2006-06-22 13:00:00",-17.91,66.665,"North",603,NA,9.1,"Female","immature",14,2.08878787878788,2006
20959,"2006-06-23 09:00:00",-17.83,66.5066666666667,"North",745,NA,17.6,"Male","mature",45,4.16059848484848,2006
